START_DATE*,START_DATE,START_TIME,END_DATE*,END_DATE,END_TIME,CATEGORY*,TIME Diff.,TIME Diff. (hours),START*,STOP*,MILES*,SPEED,PURPOSE*,,,,
01-01-2016 21:11,01-01-2016,09:11:00 PM,01-01-2016 21:17,01-01-2016,09:17:00 PM,Business,00:06:00,0.1,Fort Pierce,Fort Pierce,5.1,51,Meal/Entertain,,,,
01-02-2016 01:25,01-02-2016,01:25:00 AM,01-02-2016 01:37,01-02-2016,01:37:00 AM,Business,00:12:00,0.2,Fort Pierce,Fort Pierce,5,25,,,,,
01-02-2016 20:25,01-02-2016,08:25:00 PM,01-02-2016 20:38,01-02-2016,08:38:00 PM,Business,00:13:00,0.216666667,Fort Pierce,Fort Pierce,4.8,22.15384615,Errand/Supplies,,,,
01-05-2016 17:31,01-05-2016,05:31:00 PM,01-05-2016 17:45,01-05-2016,05:45:00 PM,Business,00:14:00,0.233333333,Fort Pierce,Fort Pierce,4.7,20.14285714,Meeting,,,,CALCULATING OUTLIERS FOR SPEED
01-06-2016 14:42,01-06-2016,02:42:00 PM,01-06-2016 15:49,01-06-2016,03:49:00 PM,Business,01:07:00,1.116666667,Fort Pierce,West Palm Beach,63.7,57.04477612,Customer Visit,,,,
01-06-2016 17:15,01-06-2016,05:15:00 PM,01-06-2016 17:19,01-06-2016,05:19:00 PM,Business,00:04:00,0.066666667,West Palm Beach,West Palm Beach,4.3,64.5,Meal/Entertain,,,Q1,14.8038961
01-06-2016 17:30,01-06-2016,05:30:00 PM,01-06-2016 17:35,01-06-2016,05:35:00 PM,Business,00:05:00,0.083333333,West Palm Beach,Palm Beach,7.1,85.2,Meeting,,,Q3,28.28571429
01-07-2016 13:27,01-07-2016,01:27:00 PM,01-07-2016 13:33,01-07-2016,01:33:00 PM,Business,00:06:00,0.1,Cary,Cary,0.8,8,Meeting,,,IQR (Q3-Q1),13.48181818
01-10-2016 08:05,01-10-2016,08:05:00 AM,01-10-2016 08:25,01-10-2016,08:25:00 AM,Business,00:20:00,0.333333333,Cary,Morrisville,8.3,24.9,Meeting,,,,
01-10-2016 12:17,01-10-2016,12:17:00 PM,01-10-2016 12:44,01-10-2016,12:44:00 PM,Business,00:27:00,0.45,Jamaica,New York,16.5,36.66666667,Customer Visit,,,Lower Limit (Q1-1.5*IQR),-5.418831169
01-10-2016 15:08,01-10-2016,03:08:00 PM,01-10-2016 15:51,01-10-2016,03:51:00 PM,Business,00:43:00,0.716666667,New York,Queens,10.8,15.06976744,Meeting,,,Upper Limit (Q3+1.5*IQR),48.50844156
01-10-2016 18:18,01-10-2016,06:18:00 PM,01-10-2016 18:53,01-10-2016,06:53:00 PM,Business,00:35:00,0.583333333,Elmhurst,New York,7.5,12.85714286,Meeting,,,,
01-10-2016 19:12,01-10-2016,07:12:00 PM,01-10-2016 19:32,01-10-2016,07:32:00 PM,Business,00:20:00,0.333333333,Midtown,East Harlem,6.2,18.6,Meeting,,,,
01-11-2016 08:55,01-11-2016,08:55:00 AM,01-11-2016 09:21,01-11-2016,09:21:00 AM,Business,00:26:00,0.433333333,East Harlem,NoMad,6.4,14.76923077,Temporary Site,,,,
01-11-2016 11:56,01-11-2016,11:56:00 AM,01-11-2016 12:03,01-11-2016,12:03:00 PM,Business,00:07:00,0.116666667,Flatiron District,Midtown,1.6,13.71428571,Errand/Supplies,,,,
01-11-2016 13:32,01-11-2016,01:32:00 PM,01-11-2016 13:46,01-11-2016,01:46:00 PM,Business,00:14:00,0.233333333,Midtown,Midtown East,1.7,7.285714286,Meal/Entertain,,,,
01-11-2016 14:30,01-11-2016,02:30:00 PM,01-11-2016 14:43,01-11-2016,02:43:00 PM,Business,00:13:00,0.216666667,Midtown East,Midtown,1.9,8.769230769,Meal/Entertain,,,,
01-12-2016 12:33,01-12-2016,12:33:00 PM,01-12-2016 12:49,01-12-2016,12:49:00 PM,Business,00:16:00,0.266666667,Midtown,Hudson Square,1.9,7.125,Meal/Entertain,,,,
01-12-2016 12:53,01-12-2016,12:53:00 PM,01-12-2016 13:09,01-12-2016,01:09:00 PM,Business,00:16:00,0.266666667,Hudson Square,Lower Manhattan,4,15,Meal/Entertain,,,,
01-12-2016 14:42,01-12-2016,02:42:00 PM,01-12-2016 14:56,01-12-2016,02:56:00 PM,Business,00:14:00,0.233333333,Lower Manhattan,Hudson Square,1.8,7.714285714,Errand/Supplies,,,,
01-12-2016 15:13,01-12-2016,03:13:00 PM,01-12-2016 15:28,01-12-2016,03:28:00 PM,Business,00:15:00,0.25,Hudson Square,Hell's Kitchen,2.4,9.6,Customer Visit,,,,
01-12-2016 15:42,01-12-2016,03:42:00 PM,01-12-2016 15:54,01-12-2016,03:54:00 PM,Business,00:12:00,0.2,Hell's Kitchen,Midtown,2,10,Errand/Supplies,,,,
